Movie Name,Genre,Studio,Country,Primary Language,Release Year,Avg Rating,Raters,Fans,Watched,Lists,Likes,Duration (minutes)
Barbie,Comedy,LuckyChap Entertainment,UK,English,2023,3.86,2980018,26000,3658001,448304,1586062,114
Parasite,Comedy,Barunson E&A,South Korea,Korean,2019,4.56,2844133,90000,3801915,521089,2176138,133
Everything Everywhere All at Once,Science Fiction,IAC Films,USA,English,2022,4.3,2345715,130000,2908165,494949,1473174,140
Fight Club,Drama,Fox 2000 Pictures,Germany,English,1999,4.27,2568765,114000,3726744,415981,1719180,139
La La Land,Drama,Summit Entertainment,Hong Kong,English,2016,4.09,2285536,204000,3199145,462742,1422472,129
Oppenheimer,Drama,Syncopy,UK,English,2023,4.23,2163845,31000,2611340,472979,1046979,181
Interstellar,Science Fiction,Legendary Pictures,UK,English,2014,4.35,2445086,194000,3493990,445197,1621993,169
Joker,Crime,Warner Bros. Pictures,Canada,English,2019,3.84,2646583,23000,3802316,290806,1552543,122
Dune,Science Fiction,Legendary Pictures,USA,English,2021,3.9,2198100,22000,2847537,335566,1059535,155
Spider-Man: Into the Spider-Verse,Adventure,Columbia Pictures,USA,English,2018,4.42,2445436,76000,3415337,444758,1757390,117
Pulp Fiction,Crime,Miramax,USA,English,1994,4.26,2195213,72000,3337922,411328,1476451,154
Whiplash,Drama,Bold Films,USA,English,2014,4.43,2140912,110000,2896085,376472,1371917,107
The Batman,Crime,6th & Idaho,USA,English,2022,3.98,2214507,43000,2892463,387674,1237940,177
Knives Out,Mystery,Lionsgate,USA,English,2019,3.99,2326937,30000,3257110,291457,1427083,131
Get Out,Horror,Monkeypaw Productions,USA,English,2017,4.16,2317735,24000,3305206,361479,1461192,104
Midsommar,Mystery,B-Reel Films,Sweden,English,2019,3.78,2081739,38000,2843170,377776,1117690,147
The Dark Knight,Action,DC Comics,UK,English,2008,4.47,2262631,82000,3466661,461171,1557080,152
Inception,Action,Legendary Pictures,UK,English,2010,4.19,2157509,59000,3380615,378632,1374049,148
Saltburn,Comedy,LuckyChap Entertainment,UK,English,2023,3.43,1741700,12000,2046106,216462,597263,131
Spider-Man: Across the Spider-Verse,Animation,Columbia Pictures,USA,English,2023,4.45,1803744,51000,2206103,412592,1119266,140
Poor Things,Romance,Searchlight Pictures,Ireland,English,2023,4.05,1487801,23000,1719780,328776,678500,142
The Truman Show,Comedy,Paramount,USA,English,1998,4.21,2037257,49000,3167547,267397,1282062,103
