Txn Hash,Method,Block,Age,From,To,Value,Txn Fee
0xf064ef6cb1cfd2d697ec0f10d803a9bba336abbad0ec2ed07404e77f692229d0,Approve,19368890,3/5/2024 12:13,0xb4A95441...798F23872 ,Pepe: PEPE Token ,0,0.00283452
0xb1f9de97561133ff8286be0dcf21e5ccc474208eeb3fb64a5ebe1718650d7438,Transfer,19368890,3/5/2024 12:13,0xdcc271d3...AeD5aC512 ,XYO Foundation: XYO Token ,0,0.0029154
0x09bc49a828559f20cedd0c48c88e45a1bcc8b3800bc40c7aa3d52994d594d1e1,Approve,19368890,3/5/2024 12:13,0x9D9a67fC...05BEFCF61 ,Tether: USDT Stablecoin ,0,0.00296976
0x23fb282f96be35c4f9091d319cea7f1a5c9e511280eac8ef983d0d9f47327ab4,Transfer,19368890,3/5/2024 12:13,0xF923521f...aDe47fb1D ,Tether: USDT Stablecoin ,0,0.00280388
0xdddbffc6ab23a5edafa976f9f4b9dc6f29a6e602de02adf1cd29be718b937bf8,Transfer,19368890,3/5/2024 12:13,0xf65b6488...49FDd49e7 ,Tether: USDT Stablecoin ,0,0.00355257
0x210d142d8265f49046422be51de3211efd8a49e536bc709da06543a026bf96a0,Transfer,19368890,3/5/2024 12:13,0x85b5A6a9...6a403132A ,Tether: USDT Stablecoin ,0,0.00384372
0xd644a08212969a082f911ea8b21335331ba341019181620012decaa0119bd48b,Deposit Transact...,19368890,3/5/2024 12:13,kriptoharun.eth ,Base: Base Portal ,0.016,0.0031975
0x7a4ac50465ba3732cd06c5d344b127826cbd615781e27ffe68a2a67e8208381d,Reserve,19368890,3/5/2024 12:13,0x8Cb7cA2e...654C2Eb3A ,0x13060280...631D8ef18 ,0,0.00762658
0xac3c7a1c0f495f6f3155de58bb9dc06fb78a3bf7b32b2e08b252cb72e393eefb,Execute,19368890,3/5/2024 12:13,0xDdcb42C9...64Bd90Ad4 ,Uniswap: Universal Router ,0,0.00928401
0x2a229327f46d9f8b40b5b15f93265e49f16e41db028c837d8ab30677cd1d05c0,Execute,19368890,3/5/2024 12:13,0x7ea52691...A3B289353 ,Uniswap: Universal Router ,0,0.00932056
0x089c55ae530cc5ea5bd2683c400af88cabcb86d91e5ecf6fea000b12239de946,Swap,19368890,3/5/2024 12:13,0x82dBbb98...4a2BF68eB ,1inch v5: Aggregation Router ,0,0.01470424
0xf60ec74bc785d09fe133c76ef987c9e70191f91ce33f25824cb7464ffaf8a5d4,Call,19368890,3/5/2024 12:13,0xbCE134a2...d0095545d ,0x3c11F626...35f451646 ,0.03,0.01820348
0x312cc19a5e1dd6888a7273477d74d8a9748da5fcc879cb008c01dbdaaee86b1e,Transfer,19368890,3/5/2024 12:13,0x413f8eaD...12eF83eFc ,0xADfBE08d...6979db964 ,0.13616994,0.001277
0x43bfebb9e0a0dc9bfee40dea93c2f2f82cb5496c84ea04c7d218f2590760908c,Transfer,19368890,3/5/2024 12:13,0xA40aec21...f3F44D8aE ,0xEaB09c6F...7d195628A ,0.018882831,0.001277
0x6c76941755b67bf687e6d36e63507e1b4e6e2eae071e0b5613d610cf28028a44,Transfer,19368890,3/5/2024 12:13,0x03736350...6449f2458 ,Shiba Inu: SHIB Token ,0,0.00286457
0xbef46b4d8ef7a60e79d0fe6fb25055e98c153bc6c907acd2f4718bfe8e3341dc,Transfer,19368890,3/5/2024 12:13,0x21d9D29a...6721CC960 ,0x01De5F37...2fB6279D4 ,0.026328057,0.001277
0xa855fc68565225d36301eeebc16fafd5583c18823447bf38aa2986192e670f7a,Transfer,19368890,3/5/2024 12:13,0xB879A358...3bbeAb195 ,0x50A9Fa91...f687ABbA2 ,0.018728154,0.001277
0x6dc3f742e1509fa27f364816a637f45f6e92889f71758231ca05bbabd4d66155,Transfer,19368890,3/5/2024 12:13,0x960e4c8A...45B4d694f ,0x0bA02fCe...f4e7fFFD4 ,0.008637878,0.001277
0xebbb6f5a580ee9de8c591f5dfce07d6270a001dcf15de7bfcca75235572ae1ac,Transfer,19368890,3/5/2024 12:13,0x397b245C...40741d7ef ,Shiba Inu: SHIB Token ,0,0.00315572
