Movie Name,Genre,Studio,Country,Primary Language,Release Year,Duration,Avg Rating,Raters,Fans,Watched,Lists,Likes
Barbie,Comedy,LuckyChap Entertainment,UK,English,2023,"
					
					114 mins",3.86,"2,980,018 ratings",26K fans,"3,658,001 members","448,304 lists","1,586,062 members"
Parasite,Comedy,Barunson E&A,South Korea,Korean,2019,"
					
					133 mins",4.56,"2,844,133 ratings",90K fans,"3,801,915 members","521,089 lists","2,176,138 members"
Everything Everywhere All at Once,Science Fiction,IAC Films,USA,English,2022,"
					
					140 mins",4.3,"2,345,715 ratings",130K fans,"2,908,165 members","494,949 lists","1,473,174 members"
Fight Club,Drama,Fox 2000 Pictures,Germany,English,1999,"
					
					139 mins",4.27,"2,568,765 ratings",114K fans,"3,726,744 members","415,981 lists","1,719,180 members"
La La Land,Drama,Summit Entertainment,Hong Kong,English,2016,"
					
					129 mins",4.09,"2,285,536 ratings",204K fans,"3,199,145 members","462,742 lists","1,422,472 members"
Oppenheimer,Drama,Syncopy,UK,English,2023,"
					
					181 mins",4.23,"2,163,845 ratings",31K fans,"2,611,340 members","472,979 lists","1,046,979 members"
Interstellar,Science Fiction,Legendary Pictures,UK,English,2014,"
					
					169 mins",4.35,"2,445,086 ratings",194K fans,"3,493,990 members","445,197 lists","1,621,993 members"
Joker,Crime,Warner Bros. Pictures,Canada,English,2019,"
					
					122 mins",3.84,"2,646,583 ratings",23K fans,"3,802,316 members","290,806 lists","1,552,543 members"
Dune,Science Fiction,Legendary Pictures,USA,English,2021,"
					
					155 mins",3.9,"2,198,100 ratings",22K fans,"2,847,537 members","335,566 lists","1,059,535 members"
Spider-Man: Into the Spider-Verse,Adventure,Columbia Pictures,USA,English,2018,"
					
					117 mins",4.42,"2,445,436 ratings",76K fans,"3,415,337 members","444,758 lists","1,757,390 members"
Pulp Fiction,Crime,Miramax,USA,English,1994,"
					
					154 mins",4.26,"2,195,213 ratings",72K fans,"3,337,922 members","411,328 lists","1,476,451 members"
Whiplash,Drama,Bold Films,USA,English,2014,"
					
					107 mins",4.43,"2,140,912 ratings",110K fans,"2,896,085 members","376,472 lists","1,371,917 members"
The Batman,Crime,6th & Idaho,USA,English,2022,"
					
					177 mins",3.98,"2,214,507 ratings",43K fans,"2,892,463 members","387,674 lists","1,237,940 members"
